         183759 function calls (179708 primitive calls) in 0.294 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/8    0.045    0.005    0.047    0.006 {built-in method _imp.create_dynamic}
      203    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
  700/668    0.013    0.000    0.057    0.000 {built-in method builtins.__build_class__}
      192    0.011    0.000    0.012    0.000 sre_compile.py:292(_optimize_charset)
     1119    0.008    0.000    0.008    0.000 {built-in method posix.stat}
       20    0.008    0.000    0.012    0.001 enum.py:180(__new__)
       16    0.005    0.000    0.005    0.000 {built-in method _imp.create_builtin}
   201/40    0.005    0.000    0.013    0.000 sre_parse.py:494(_parse)
      203    0.005    0.000    0.005    0.000 {built-in method io.open_code}
      425    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        3    0.004    0.001    0.004    0.001 {built-in method posix.waitpid}
        3    0.004    0.001    0.004    0.001 {built-in method _posixsubprocess.fork_exec}
      203    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
    20835    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      285    0.003    0.000    0.003    0.000 functools.py:35(update_wrapper)
      256    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     4449    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
   331/38    0.002    0.000    0.011    0.000 sre_compile.py:87(_compile)
      533    0.002    0.000    0.005    0.000 enum.py:89(__setitem__)
     4679    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      213    0.002    0.000    0.003    0.000 rq.py:936(__init__)
     2428    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      241    0.002    0.000    0.003    0.000 typing.py:206(_collect_type_vars)
     2428    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       32    0.002    0.000    0.918    0.029 __init__.py:1(<module>)
      203    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      406    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       22    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     2116    0.002    0.000    0.004    0.000 typing.py:986(__setattr__)
       23    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
     1170    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x8d0b40}
      680    0.002    0.000    0.003    0.000 typing.py:1284(__hash__)
     8071    0.002    0.000    0.002    0.000 typing.py:1273(<genexpr>)
      528    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    259/6    0.002    0.000    0.293    0.049 <frozen importlib._bootstrap>:1022(_find_and_load)
     3056    0.002    0.000    0.002    0.000 sre_parse.py:234(__next)
    245/5    0.001    0.000    0.291    0.058 <frozen importlib._bootstrap>:664(_load_unlocked)
      237    0.001    0.000    0.009    0.000 typing.py:1016(__init__)
      245    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       23    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
      326    0.001    0.000    0.003    0.000 typing.py:146(_type_check)
      240    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
8774/8396    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     9447    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
    259/6    0.001    0.000    0.293    0.049 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     4775    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.043    0.043 __init__.py:68(bootstrap)
     2363    0.001    0.000    0.002    0.000 sre_parse.py:165(__getitem__)
      933    0.001    0.000    0.001    0.000 rq.py:251(__init__)
      265    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
      460    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
  405/112    0.001    0.000    0.001    0.000 sre_parse.py:175(getwidth)
     2405    0.001    0.000    0.002    0.000 sre_parse.py:255(get)
        1    0.001    0.001    0.001    0.001 rq.py:626(PropertyData)
     2116    0.001    0.000    0.002    0.000 typing.py:935(_is_dunder)
      205    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     2917    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     3129    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     2439    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      581    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      212    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      406    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      230    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      203    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
   259/56    0.001    0.000    0.154    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     5268    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    203/5    0.001    0.000    0.290    0.058 <frozen importlib._bootstrap_external>:877(exec_module)
     1081    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1678(_guarded_repr_or_str)
      203    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       23    0.001    0.000    0.010    0.000 __init__.py:23(__load_extra_py_code_for_module)
   391/24    0.001    0.000    0.158    0.007 {built-in method builtins.__import__}
      203    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     1641    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       50    0.001    0.000    0.005    0.000 typing.py:532(Literal)
      224    0.001    0.000    0.001    0.000 rq.py:143(__init__)
  245/239    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      311    0.001    0.000    0.003    0.000 function_base.py:487(add_newdoc)
